adversarial_fraction,seed,algorithm,accuracy
0.7,1023,majority_vote,0.06
0.7,1023,reputation_weighted,0.9
0.7,1023,time_decayed,0.72
0.7,1024,majority_vote,0.04
0.7,1024,reputation_weighted,0.8
0.7,1024,time_decayed,0.78
0.7,1025,majority_vote,0.08
0.7,1025,reputation_weighted,0.86
0.7,1025,time_decayed,0.74
0.7,1026,majority_vote,0.06
0.7,1026,reputation_weighted,0.92
0.7,1026,time_decayed,0.9
0.7,1027,majority_vote,0.08
0.7,1027,reputation_weighted,0.84
0.7,1027,time_decayed,0.74
0.7,1028,majority_vote,0.02
0.7,1028,reputation_weighted,0.84
0.7,1028,time_decayed,0.78
0.7,1029,majority_vote,0.02
0.7,1029,reputation_weighted,0.88
0.7,1029,time_decayed,0.76
0.8,1000,majority_vote,0.02
0.8,1000,reputation_weighted,0.78
0.8,1000,time_decayed,0.66
0.8,1001,majority_vote,0.08
0.8,1001,reputation_weighted,0.74
0.8,1001,time_decayed,0.58
0.8,1002,majority_vote,0.0
0.8,1002,reputation_weighted,0.68
0.8,1002,time_decayed,0.58
0.8,1003,majority_vote,0.02
0.8,1003,reputation_weighted,0.62
0.8,1003,time_decayed,0.56
0.8,1004,majority_vote,0.0
0.8,1004,reputation_weighted,0.8
0.8,1004,time_decayed,0.68
0.8,1005,majority_vote,0.0
0.8,1005,reputation_weighted,0.74
0.8,1005,time_decayed,0.64
0.8,1006,majority_vote,0.0
0.8,1006,reputation_weighted,0.68
0.8,1006,time_decayed,0.58
0.8,1007,majority_vote,0.02
0.8,1007,reputation_weighted,0.7
0.8,1007,time_decayed,0.6
0.8,1008,majority_vote,0.0
0.8,1008,reputation_weighted,0.74
0.8,1008,time_decayed,0.66
0.8,1009,majority_vote,0.0
0.8,1009,reputation_weighted,0.64
0.8,1009,time_decayed,0.58
0.8,1010,majority_vote,0.0
0.8,1010,reputation_weighted,0.92
0.8,1010,time_decayed,0.7
0.8,1011,majority_vote,0.04
0.8,1011,reputation_weighted,0.76
0.8,1011,time_decayed,0.6
0.8,1012,majority_vote,0.0
0.8,1012,reputation_weighted,0.66
0.8,1012,time_decayed,0.52
0.8,1013,majority_vote,0.02
0.8,1013,reputation_weighted,0.6
0.8,1013,time_decayed,0.52
0.8,1014,majority_vote,0.0
0.8,1014,reputation_weighted,0.82
0.8,1014,time_decayed,0.72
0.8,1015,majority_vote,0.0
0.8,1015,reputation_weighted,0.64
0.8,1015,time_decayed,0.48
0.8,1016,majority_vote,0.02
0.8,1016,reputation_weighted,0.74
0.8,1016,time_decayed,0.52
0.8,1017,majority_vote,0.0
0.8,1017,reputation_weighted,0.7
0.8,1017,time_decayed,0.54
0.8,1018,majority_vote,0.02
0.8,1018,reputation_weighted,0.74
0.8,1018,time_decayed,0.6
0.8,1019,majority_vote,0.0
0.8,1019,reputation_weighted,0.84
0.8,1019,time_decayed,0.62
0.8,1020,majority_vote,0.0
0.8,1020,reputation_weighted,0.8
0.8,1020,time_decayed,0.64
0.8,1021,majority_vote,0.0
0.8,1021,reputation_weighted,0.78
0.8,1021,time_decayed,0.64
