adversarial_fraction,flip_probability,seed,algorithm,accuracy
0.4,0.8,5015,time_decayed,0.64
0.4,0.8,5016,majority_vote,0.5
0.4,0.8,5016,reputation_weighted,0.68
0.4,0.8,5016,time_decayed,0.64
0.4,0.8,5017,majority_vote,0.46
0.4,0.8,5017,reputation_weighted,0.64
0.4,0.8,5017,time_decayed,0.66
0.4,0.8,5018,majority_vote,0.48
0.4,0.8,5018,reputation_weighted,0.66
0.4,0.8,5018,time_decayed,0.72
0.4,0.8,5019,majority_vote,0.48
0.4,0.8,5019,reputation_weighted,0.68
0.4,0.8,5019,time_decayed,0.7
0.4,0.8,5020,majority_vote,0.62
0.4,0.8,5020,reputation_weighted,0.76
0.4,0.8,5020,time_decayed,0.72
0.4,0.8,5021,majority_vote,0.56
0.4,0.8,5021,reputation_weighted,0.7
0.4,0.8,5021,time_decayed,0.64
0.4,0.8,5022,majority_vote,0.46
0.4,0.8,5022,reputation_weighted,0.58
0.4,0.8,5022,time_decayed,0.64
0.4,0.8,5023,majority_vote,0.52
0.4,0.8,5023,reputation_weighted,0.72
0.4,0.8,5023,time_decayed,0.68
0.4,0.8,5024,majority_vote,0.4
0.4,0.8,5024,reputation_weighted,0.58
0.4,0.8,5024,time_decayed,0.72
0.4,0.8,5025,majority_vote,0.38
0.4,0.8,5025,reputation_weighted,0.56
0.4,0.8,5025,time_decayed,0.54
0.4,0.8,5026,majority_vote,0.52
0.4,0.8,5026,reputation_weighted,0.68
0.4,0.8,5026,time_decayed,0.68
0.4,0.8,5027,majority_vote,0.5
0.4,0.8,5027,reputation_weighted,0.62
0.4,0.8,5027,time_decayed,0.64
0.4,0.8,5028,majority_vote,0.58
0.4,0.8,5028,reputation_weighted,0.66
0.4,0.8,5028,time_decayed,0.66
0.4,0.8,5029,majority_vote,0.5
0.4,0.8,5029,reputation_weighted,0.7
0.4,0.8,5029,time_decayed,0.62
0.8,0.0,5000,majority_vote,0.02
0.8,0.0,5000,reputation_weighted,0.72
0.8,0.0,5000,time_decayed,0.56
0.8,0.0,5001,majority_vote,0.04
0.8,0.0,5001,reputation_weighted,0.74
0.8,0.0,5001,time_decayed,0.62
0.8,0.0,5002,majority_vote,0.0
0.8,0.0,5002,reputation_weighted,0.7
0.8,0.0,5002,time_decayed,0.56
0.8,0.0,5003,majority_vote,0.0
0.8,0.0,5003,reputation_weighted,0.72
0.8,0.0,5003,time_decayed,0.62
0.8,0.0,5004,majority_vote,0.02
0.8,0.0,5004,reputation_weighted,0.8
0.8,0.0,5004,time_decayed,0.48
0.8,0.0,5005,majority_vote,0.04
0.8,0.0,5005,reputation_weighted,0.62
0.8,0.0,5005,time_decayed,0.48
0.8,0.0,5006,majority_vote,0.0
0.8,0.0,5006,reputation_weighted,0.5
0.8,0.0,5006,time_decayed,0.46
0.8,0.0,5007,majority_vote,0.0
0.8,0.0,5007,reputation_weighted,0.72
0.8,0.0,5007,time_decayed,0.56
0.8,0.0,5008,majority_vote,0.02
0.8,0.0,5008,reputation_weighted,0.76
0.8,0.0,5008,time_decayed,0.64
0.8,0.0,5009,majority_vote,0.0
0.8,0.0,5009,reputation_weighted,0.86
0.8,0.0,5009,time_decayed,0.74
0.8,0.0,5010,majority_vote,0.0
0.8,0.0,5010,reputation_weighted,0.82
0.8,0.0,5010,time_decayed,0.58
0.8,0.0,5011,majority_vote,0.0
0.8,0.0,5011,reputation_weighted,0.7
0.8,0.0,5011,time_decayed,0.52
0.8,0.0,5012,majority_vote,0.02
0.8,0.0,5012,reputation_weighted,0.86
