report_probability,seed,algorithm,accuracy,reports_per_atm,zero_report_fraction
0.2,4014,majority_vote,0.72,5.96,0.0
0.2,4014,reputation_weighted,0.9,5.96,0.0
0.2,4014,time_decayed,0.84,5.96,0.0
0.2,4015,majority_vote,0.68,6.16,0.0
0.2,4015,reputation_weighted,0.94,6.16,0.0
0.2,4015,time_decayed,0.88,6.16,0.0
0.2,4016,majority_vote,0.66,6.12,0.0
0.2,4016,reputation_weighted,0.94,6.12,0.0
0.2,4016,time_decayed,0.86,6.12,0.0
0.2,4017,majority_vote,0.74,6.22,0.02
0.2,4017,reputation_weighted,0.94,6.22,0.02
0.2,4017,time_decayed,0.92,6.22,0.02
0.2,4018,majority_vote,0.64,5.9,0.0
0.2,4018,reputation_weighted,0.9,5.9,0.0
0.2,4018,time_decayed,0.8,5.9,0.0
0.2,4019,majority_vote,0.74,6.08,0.0
0.2,4019,reputation_weighted,0.98,6.08,0.0
0.2,4019,time_decayed,0.96,6.08,0.0
0.2,4020,majority_vote,0.6,5.82,0.0
0.2,4020,reputation_weighted,0.92,5.82,0.0
0.2,4020,time_decayed,0.82,5.82,0.0
0.2,4021,majority_vote,0.72,5.58,0.0
0.2,4021,reputation_weighted,0.94,5.58,0.0
0.2,4021,time_decayed,0.9,5.58,0.0
0.2,4022,majority_vote,0.72,5.6,0.0
0.2,4022,reputation_weighted,0.94,5.6,0.0
0.2,4022,time_decayed,0.82,5.6,0.0
0.2,4023,majority_vote,0.8,5.92,0.0
0.2,4023,reputation_weighted,0.9,5.92,0.0
0.2,4023,time_decayed,0.84,5.92,0.0
0.2,4024,majority_vote,0.66,5.48,0.0
0.2,4024,reputation_weighted,0.86,5.48,0.0
0.2,4024,time_decayed,0.84,5.48,0.0
0.2,4025,majority_vote,0.68,5.5,0.0
0.2,4025,reputation_weighted,0.88,5.5,0.0
0.2,4025,time_decayed,0.84,5.5,0.0
0.2,4026,majority_vote,0.66,6.26,0.0
0.2,4026,reputation_weighted,0.9,6.26,0.0
0.2,4026,time_decayed,0.84,6.26,0.0
0.2,4027,majority_vote,0.7,6.36,0.0
0.2,4027,reputation_weighted,0.94,6.36,0.0
0.2,4027,time_decayed,0.88,6.36,0.0
0.2,4028,majority_vote,0.66,5.78,0.0
0.2,4028,reputation_weighted,0.96,5.78,0.0
0.2,4028,time_decayed,0.92,5.78,0.0
0.2,4029,majority_vote,0.78,6.3,0.0
0.2,4029,reputation_weighted,0.98,6.3,0.0
0.2,4029,time_decayed,0.9,6.3,0.0
0.3,4000,majority_vote,0.74,9.18,0.0
0.3,4000,reputation_weighted,1.0,9.18,0.0
0.3,4000,time_decayed,0.96,9.18,0.0
0.3,4001,majority_vote,0.66,8.24,0.0
0.3,4001,reputation_weighted,0.96,8.24,0.0
0.3,4001,time_decayed,0.88,8.24,0.0
0.3,4002,majority_vote,0.72,9.24,0.0
0.3,4002,reputation_weighted,0.98,9.24,0.0
0.3,4002,time_decayed,0.96,9.24,0.0
0.3,4003,majority_vote,0.76,8.82,0.0
0.3,4003,reputation_weighted,0.98,8.82,0.0
0.3,4003,time_decayed,0.96,8.82,0.0
0.3,4004,majority_vote,0.72,8.76,0.0
0.3,4004,reputation_weighted,0.94,8.76,0.0
0.3,4004,time_decayed,0.92,8.76,0.0
0.3,4005,majority_vote,0.76,9.5,0.0
0.3,4005,reputation_weighted,0.98,9.5,0.0
0.3,4005,time_decayed,0.96,9.5,0.0
0.3,4006,majority_vote,0.56,8.66,0.0
0.3,4006,reputation_weighted,0.96,8.66,0.0
0.3,4006,time_decayed,0.88,8.66,0.0
0.3,4007,majority_vote,0.82,8.62,0.0
0.3,4007,reputation_weighted,0.98,8.62,0.0
0.3,4007,time_decayed,0.94,8.62,0.0
0.3,4008,majority_vote,0.64,9.44,0.0
0.3,4008,reputation_weighted,0.96,9.44,0.0
0.3,4008,time_decayed,0.9,9.44,0.0
0.3,4009,majority_vote,0.8,8.62,0.0
0.3,4009,reputation_weighted,0.98,8.62,0.0
0.3,4009,time_decayed,0.86,8.62,0.0
0.3,4010,majority_vote,0.8,9.24,0.0
0.3,4010,reputation_weighted,1.0,9.24,0.0
0.3,4010,time_decayed,0.98,9.24,0.0
0.3,4011,majority_vote,0.78,9.12,0.0
0.3,4011,reputation_weighted,0.98,9.12,0.0
0.3,4011,time_decayed,0.96,9.12,0.0
0.3,4012,majority_vote,0.72,8.82,0.0
0.3,4012,reputation_weighted,0.98,8.82,0.0
0.3,4012,time_decayed,0.94,8.82,0.0
0.3,4013,majority_vote,0.74,8.54,0.0
0.3,4013,reputation_weighted,0.94,8.54,0.0
0.3,4013,time_decayed,0.92,8.54,0.0
0.3,4014,majority_vote,0.74,9.28,0.0
0.3,4014,reputation_weighted,0.94,9.28,0.0
0.3,4014,time_decayed,0.86,9.28,0.0
0.3,4015,majority_vote,0.78,8.82,0.0
0.3,4015,reputation_weighted,1.0,8.82,0.0
0.3,4015,time_decayed,0.94,8.82,0.0
0.3,4016,majority_vote,0.8,9.54,0.0
0.3,4016,reputation_weighted,0.98,9.54,0.0
0.3,4016,time_decayed,0.98,9.54,0.0
0.3,4017,majority_vote,0.86,9.46,0.0
0.3,4017,reputation_weighted,1.0,9.46,0.0
0.3,4017,time_decayed,0.96,9.46,0.0
0.3,4018,majority_vote,0.7,8.96,0.0
0.3,4018,reputation_weighted,0.96,8.96,0.0
0.3,4018,time_decayed,0.84,8.96,0.0
0.3,4019,majority_vote,0.84,9.26,0.0
0.3,4019,reputation_weighted,0.96,9.26,0.0
0.3,4019,time_decayed,0.96,9.26,0.0
0.3,4020,majority_vote,0.72,8.6,0.0
0.3,4020,reputation_weighted,1.0,8.6,0.0
0.3,4020,time_decayed,0.96,8.6,0.0
0.3,4021,majority_vote,0.76,8.86,0.0
0.3,4021,reputation_weighted,0.98,8.86,0.0
0.3,4021,time_decayed,0.96,8.86,0.0
0.3,4022,majority_vote,0.74,8.8,0.0
0.3,4022,reputation_weighted,0.96,8.8,0.0
0.3,4022,time_decayed,0.92,8.8,0.0
0.3,4023,majority_vote,0.7,8.46,0.0
0.3,4023,reputation_weighted,0.96,8.46,0.0
0.3,4023,time_decayed,0.94,8.46,0.0
0.3,4024,majority_vote,0.74,8.48,0.0
0.3,4024,reputation_weighted,1.0,8.48,0.0
0.3,4024,time_decayed,0.96,8.48,0.0
0.3,4025,majority_vote,0.7,8.18,0.0
0.3,4025,reputation_weighted,1.0,8.18,0.0
0.3,4025,time_decayed,0.94,8.18,0.0
0.3,4026,majority_vote,0.86,9.32,0.0
0.3,4026,reputation_weighted,0.98,9.32,0.0
0.3,4026,time_decayed,0.94,9.32,0.0
0.3,4027,majority_vote,0.92,9.0,0.0
0.3,4027,reputation_weighted,0.98,9.0,0.0
0.3,4027,time_decayed,1.0,9.0,0.0
0.3,4028,majority_vote,0.7,8.9,0.0
0.3,4028,reputation_weighted,0.96,8.9,0.0
0.3,4028,time_decayed,0.9,8.9,0.0
0.3,4029,majority_vote,0.78,9.06,0.0
